0.62822 0.52258 0.42024 0.4104 0.2874 0.2543 0.27902 0.304 0.22288 0.25594 0.27112
0.62232 0.51892 0.47338 0.3534 0.39956 0.2494 0.26368 0.24272 0.1854 0.17566 0.21198
0.56388 0.46644 0.4097 0.3022 0.3176 0.26132 0.2331 0.21974 0.26574 0.21638 0.1873
0.50908 0.50202 0.37702 0.38218 0.35136 0.31042 0.22402 0.24244 0.22422 0.20574 0.19438
0.69486 0.54616 0.40146 0.43846 0.36004 0.24008 0.25982 0.23788 0.18166 0.14706 0.1656
0.67376 0.44238 0.4732 0.36826 0.3768 0.29222 0.21958 0.2254 0.20144 0.1825 0.2087
0.66254 0.54046 0.42172 0.37898 0.3777 0.2964 0.25088 0.23446 0.2287 0.21832 0.18052
0.63172 0.4738 0.47626 0.32896 0.32678 0.22292 0.27066 0.24998 0.23074 0.19858 0.2287
0.60334 0.46556 0.38874 0.38396 0.31124 0.28906 0.22096 0.23906 0.2335 0.2066 0.19546
0.58012 0.54926 0.44904 0.39508 0.3204 0.311 0.29328 0.16504 0.2114 0.22118 0.20454
0.63062 0.5036 0.37256 0.33282 0.30766 0.3108 0.28384 0.24226 0.263 0.19084 0.17496
