0.14324 0.107 0.08362 0.092 0.0656 0.06294 0.07776 0.0949 0.07188 0.08928 0.1022
0.13976 0.1053 0.1004 0.07308 0.10142 0.06262 0.07412 0.07298 0.05738 0.05834 0.07686
0.11756 0.08754 0.08122 0.06026 0.07434 0.06428 0.06382 0.06582 0.08836 0.07464 0.06744
0.0969 0.10062 0.07206 0.08328 0.08434 0.0813 0.06112 0.07272 0.07158 0.0699 0.07046
0.17546 0.1155 0.07872 0.10098 0.08766 0.05758 0.07266 0.07256 0.05738 0.0488 0.05782
0.1629 0.08156 0.10032 0.08058 0.0943 0.07738 0.05872 0.06736 0.06428 0.06178 0.07524
0.16038 0.11402 0.0835 0.08334 0.09484 0.07544 0.06894 0.07056 0.07468 0.07476 0.06504
0.14408 0.0923 0.10014 0.0706 0.07552 0.05492 0.07466 0.07574 0.07478 0.06768 0.08366
0.13266 0.08832 0.07392 0.08444 0.07326 0.07368 0.05896 0.07332 0.07594 0.07114 0.0708
0.12394 0.11908 0.09228 0.08774 0.07662 0.08274 0.08312 0.04764 0.06856 0.07746 0.07352
0.14358 0.09984 0.06956 0.07044 0.07054 0.08108 0.08138 0.07298 0.08638 0.06626 0.06264
